CustomerID,ReferrerID,PointsBalance,ExpiryDate,TelegramUserID,VerificationCode,Admin ผู้สร้าง,ReferralCount,ActiveCampaign
OT553,,0,18/10/2025,,5423,KR,,
OT284,,0,18/10/2025,,6099,TR,,
OT444,,0,25/10/2025,8213641242,,TR,,
OT1592,,0,25/10/2025,7895179390,,KR,,
OT1593,,0,25/10/2025,8273746555,,T,,
OT1594,,0,25/10/2025,8361610692,,g.,,
OT337,,0,25/10/2025,5862048737,,AA,,
OT1595,,0,25/10/2025,8411870600,,Telegran,,
OT1596,,0,18/10/2025,,1468,KR,,
OT1597,,0,25/10/2025,7860958334,,Telegran,,
OT1599,,0,18/10/2025,,9658,AA,,
OT1598,,0,25/10/2025,2042595369,,P,,
OT1600,,0,25/10/2025,7401889281,,AA,,
OT332,,0,18/10/2025,,3660,P,,
OT1601,,0,25/10/2025,1308989567,,g.,,
OT1603,,0,25/10/2025,7318980718,,g.,,
OT1602,,0,25/10/2025,1600740919,,AA,,
OT1605,,0,18/10/2025,,7809,TR,,
OT1604,,0,18/10/2025,,3384,T,,
OT1607,,0,18/10/2025,,1800,g.,,
OT1606,,0,18/10/2025,,9798,TR,,
OT1608,,100,28/11/2025,,6400,g.,1,Nov 2025 Campaign
OT121,,0,18/10/2025,,1946,P,,
OT1609,,0,25/10/2025,8369957420,,g.,,
OT1610,,0,25/10/2025,5845255723,,Telegran,,
OT103,,0,25/10/2025,8183955623,,P,,
OT277,,0,18/10/2025,,5612,KR,,
OT1611,,0,25/10/2025,7530458621,,P,,
OT1612,,0,18/10/2025,,5133,g.,,
OT60,,0,15/11/2025,6553411053,,P,,
OT467,,0,18/10/2025,,7884,g.,,
OT1613,,0,18/10/2025,,5763,g.,,
OT1615,,0,25/10/2025,7961935928,,TR,,
OT1614,,0,25/10/2025,8011306138,,AA,,
OT1616,,0,01/11/2025,6827337392,,AA,,
OT1617,,0,18/10/2025,,8320,KR,,
OT1618,,0,25/10/2025,8224150512,,P,,
OT480,,0,01/11/2025,8471751116,,P,,
OT1619,,0,25/10/2025,7784612364,,JK,,
OT201,,0,18/10/2025,,2862,AA,,
OT1620,,0,18/10/2025,,8072,g.,,
OT1621,,0,01/11/2025,6128286270,,AA,,
OT1040,,0,18/10/2025,,2761,JK,,
OT610,,0,18/10/2025,,8406,Telegran,,
OT1622,,0,25/10/2025,6423029371,,P,,
OT670,,0,18/10/2025,,1733,AA,,
OT1623,,0,25/10/2025,8218868647,,g.,,
OT388,,0,18/10/2025,,8956,AA,,
OT413,,0,18/10/2025,,9427,KR,,
OT1625,,0,18/10/2025,,4952,AA,,
OT1626,,0,18/10/2025,,4177,KR,,
OT1627,,0,18/10/2025,,6841,Kethie246,,
OT1628,,0,25/10/2025,7645564481,,AA,,
OT1629,,0,25/10/2025,5368888396,,AA,,
OT419,,0,18/10/2025,,7766,JK,,
OT1630,,0,25/10/2025,8409357925,,g.,,
OT322,,0,18/10/2025,,1149,KR,,
OT1631,,0,25/10/2025,6270764759,,Kethie246,,
OT1632,,0,19/10/2025,,9688,Kethie246,,
OT1633,,0,26/10/2025,7462173169,,Kethie246,,
OT884,,0,19/10/2025,,4910,KR,,
OT1634,,0,19/10/2025,,4899,Kethie246,,
OT1635,,0,19/10/2025,,7201,KR,,
OT1636,,0,19/10/2025,,8299,KR,,
OT1637,,0,19/10/2025,,9780,g.,,
OT1638,,0,19/10/2025,,4746,AA,,
OT942,,0,26/10/2025,8429173931,,g.,,
OT1639,,0,19/10/2025,,9487,g.,,
OT1640,,0,26/10/2025,850420402,,g.,,
OT1054,,0,26/10/2025,8252243191,,TR,,
OT1641,,0,26/10/2025,6214414761,,g.,,
OT783,,0,26/10/2025,6357649428,,Telegran,,
OT1643,,0,26/10/2025,,6743,T,,
OT1642,,0,19/10/2025,,6007,AA,,
OT1644,,0,26/10/2025,6744620107,,T,,
OT1645,,0,09/11/2025,8085615751,,JK,,
OT109,,0,02/11/2025,8281943282,,KR,,
OT962,,0,26/10/2025,7393973034,,AA,,
OT1646,,0,19/10/2025,,7864,TR,,
OT532,,0,26/10/2025,7983360783,,TR,,
OT1648,,0,26/10/2025,8482915001,,AA,,
OT1647,,0,19/10/2025,,8415,T,,
OT1649,,0,26/10/2025,7194141418,,P,,
OT648,,0,19/10/2025,,1144,g.,,
OT1624,,0,02/11/2025,7039484437,,Telegran,,
OT233,,0,09/11/2025,5682343596,,g.,,
